Role Category,Role,Functional Area,Industry,Skill1,Skill2,Skill3,Skill4,Skill5
67,405,35,58,7934,6386,9509,10433,11287
67,405,35,58,1499,868,5219,3795,8200
67,424,35,58,5187,9878,6130,11375,201
67,424,35,58,5281,2940,778,10994,2965
67,424,35,1,6386,8310,1499,7508,4938
67,424,35,1,9452,10072,7279,11589,7934
67,364,35,41,2233,1180,6386,11503,10433
67,364,35,41,3534,11191,8372,3745,7880
67,424,35,52,7425,4422,7376,11066,9712
67,424,35,52,4073,4838,1474,6147,4988
67,424,35,43,7976,6386,9712,1499,4711
67,424,35,43,1228,4861,6384,10072,1829
67,364,35,4,8090,10433,7880,7249,7808
67,424,35,41,1321,8753,4830,8517,7155
67,193,35,6,7934,8090,9509,10846,1985
67,193,35,6,1407,8506,8880,1335,2512
67,193,35,6,3229,1499,868,10708,6386
67,193,35,6,10433,5284,7508,7249,8147
67,193,35,43,5647,2512,1476,10286,1370
67,424,35,41,6386,9372,253,9258,7880
67,424,35,43,6396,6386,3281,4830,10771
67,424,35,43,9255,1156,868,9847,5844
67,405,35,1,5337,6386,9640,9804,2744
67,424,35,1,6386,10291,1499,4838,8506
67,424,35,30,1370,10433,8983,5560,7880
67,424,35,1,11191,1563,9813,9254,11452
67,424,35,1,7690,3894,3405,6469,10805
67,424,35,1,9882,10433,253,230,7527
67,424,35,1,7880,1276,4488,9354,3254
67,424,35,43,7808,7577,5754,1120,2583
67,405,35,38,5272,6386,10433,7880,5560
67,424,35,16,10365,7068,43,687,7249
67,424,35,16,7880,3795,10039,1341,11589
67,424,35,38,7068,6386,1563,7249,8007
67,424,35,38,6384,8646,10072,7955,7425
67,424,35,1,1803,11234,10365,3180,7249
67,364,35,43,3534,1985,1370,6647,6595
67,424,35,10,1499,153,7249,7642,6384
67,424,35,10,5654,737,6722,868,7425
67,424,35,28,6024,9325,4550,1276,3228
67,424,35,28,3703,11364,9592,6590,7504
67,405,35,43,6386,8148,2931,5686,7508
67,405,35,43,6384,6609,9224,6722,7425
67,424,35,41,11274,3517,7642,10685,2443
67,364,35,43,6386,10433,7880,3229,253
67,424,35,13,6643,1204,5654,10765,9882
67,193,35,1,1499,868,2512,6384,1985
67,364,35,1,8638,1090,7068,10365,6597
67,364,35,1,8419,7554,2195,9963,6746
67,424,35,41,689,11588,10685,10433,574
67,424,35,1,8396,2837,3387,2758,6956
67,424,35,38,5041,7808,1373,3696,10524
67,424,35,38,6864,5174,6292,8491,3232
67,405,35,4,6643,6386,1180,6591,10433
